name,weapon_type,damage_type,trait,range,damage,burden,feature
Improved Broadsword,Primary,Physical,Agility,Melee,d8+3 phy,One-Handed,Reliable: +1 to attack rolls
Improved Longsword,Primary,Physical,Agility,Melee,d10+6 phy,Two-Handed,:
Improved Battleaxe,Primary,Physical,Strength,Melee,d10+6 phy,Two-Handed,:
Improved Greatsword,Primary,Physical,Strength,Melee,d10+6 phy,Two-Handed,"Massive: -1 to Evasion; on a successful attack, roll an additional damage die and discard the lowest result."
Improved Mace,Primary,Physical,Strength,Melee,d8+4 phy,One-Handed,:
Improved Warhammer,Primary,Physical,Strength,Melee,d12+6 phy,Two-Handed,Heavy: -1 to Evasion
Improved Dagger,Primary,Physical,Finesse,Melee,d8+4 phy,One-Handed,:
Improved Quarterstaff,Primary,Physical,Instinct,Melee,d10+6 phy,Two-Handed,:
Improved Cutlass,Primary,Physical,Presence,Melee,d8+4 phy,One-Handed,:
Improved Rapier,Primary,Physical,Presence,Melee,d8+3 phy,One-Handed,"Quick: When you make an attack, you can mark a Stress to target another creature within range."
Improved Katana,Primary,Physical,Agility,Melee,d10+6 phy,Two-Handed,"Quick When you make an attack, you can mark a Stress to target another creature within range."
Improved Brass Knuckles,Primary,Physical,Strength,Melee,d8+4 phy,One-Handed,:
Improved Scimitar,Primary,Physical,Presence,Melee,d8+4 phy,One-Handed,:
Improved Twisted Dagger,Primary,Physical,Knowledge,Melee,d8+3 phy,One-Handed,Piercing: Damage dealt with this weapon treats the target's Major threshold as having a -2 Penalty.
Improved Halberd,Primary,Physical,Strength,Very Close,d10+5 phy,Two-Handed,Cumbersome: -1 to Finesse
Improved Spear,Primary,Physical,Finesse,Very Close,d8+6 phy,Two-Handed,: -1 to Finesse
Improved Whipsword,Primary,Physical,Finesse,Very Close,d8+3 phy,One-Handed,"Versatile: This weapons can also be used with these statistics - Finesse, Melee, d10+3."
Improved Rope Dart,Primary,Physical,Instinct,Close,d6+4 phy,Two-Handed,:
