name,weapon_type,damage_type,trait,range,damage,burden,feature
Broadsword,Primary,Physical,Agility,Melee,d8 phy,One-Handed,Reliable: +1 to attack rolls
Longsword,Primary,Physical,Agility,Melee,d10+3 phy,Two-Handed,:
Battleaxe,Primary,Physical,Strength,Melee,d10+3 phy,Two-Handed,:
Greatsword,Primary,Physical,Strength,Melee,d10+3 phy,Two-Handed,"Massive: -1 to Evasion; on a successful attack, roll an additional damage die and discard the lowest result."
Mace,Primary,Physical,Strength,Melee,d8+1 phy,One-Handed,:
Warhammer,Primary,Physical,Strength,Melee,d12+3 phy,Two-Handed,Heavy: -1 to Evasion
Dagger,Primary,Physical,Finesse,Melee,d8+1 phy,One-Handed,:
Quarterstaff,Primary,Physical,Instinct,Melee,d10+3 phy,Two-Handed,:
Cutlass,Primary,Physical,Presence,Melee,d8+1 phy,One-Handed,:
Rapier,Primary,Physical,Presence,Melee,d8 phy,One-Handed,"Quick: When you make an attack, you can mark a Stress to target another creature within range."
Katana,Primary,Physical,Agility,Melee,d10+3 phy,Two-Handed,"Quick When you make an attack, you can mark a Stress to target another creature within range."
Brass Knuckles,Primary,Physical,Strength,Melee,d8+1 phy,One-Handed,:
Scimitar,Primary,Physical,Presence,Melee,d8+1 phy,One-Handed,:
Twisted Dagger,Primary,Physical,Knowledge,Melee,d8 phy,One-Handed,Piercing: Damage dealt with this weapon treats the target's Major threshold as having a -2 Penalty.
Halberd,Primary,Physical,Strength,Very Close,d10+2 phy,Two-Handed,Cumbersome: -1 to Finesse
Spear,Primary,Physical,Finesse,Very Close,d8+3 phy,Two-Handed,: -1 to Finesse
Whipsword,Primary,Physical,Finesse,Very Close,d8 phy,One-Handed,"Versatile: This weapons can also be used with these statistics - Finesse, Melee, d10."
Rope Dart,Primary,Physical,Instinct,Close,d6+1 phy,Two-Handed,:
Shortbow,Primary,Physical,Agility,Far,d6+3 phy,Two-Handed,:
Crossbow,Primary,Physical,Finesse,Far,d6+1 phy,One-Handed,:
Longbow,Primary,Physical,Agility,Very Far,d8+3 phy,Two-Handed,Cumbersome: -1 to Finesse
Arcane Gauntlets,Primary,Magical,Strength,Melee,d10+3 mag,Two-Handed,:
Hallowed Axe,Primary,Magical,Strength,Melee,d8+1 mag,One-Handed,:
Brightsword,Primary,Magical,Strength,Melee,d10+3 mag,Two-Handed,:
Shadowblade,Primary,Magical,Presence,Melee,d8 phy/mag,One-handed,"Otherworldly: On a successful attack, you can deal physical or magic damage"
Glowing Rings,Primary,Magical,Agility,Very Close,d10+2 mag,Two-Handed,:
